,train_len,test_len,rec_len,hit,precision,recall,f1_score
584,62,21,20,16,0.8,0.761904762,0.780487805
126,27,11,20,10,0.5,0.909090909,0.64516129
3,30,9,20,0,0,0,error
455,41,16,20,11,0.55,0.6875,0.611111111
8,34,13,20,10,0.5,0.769230769,0.606060606
347,32,13,20,10,0.5,0.769230769,0.606060606
142,24,14,20,10,0.5,0.714285714,0.588235294
379,25,11,20,9,0.45,0.818181818,0.580645161
592,72,22,20,12,0.6,0.545454545,0.571428571
94,44,12,20,9,0.45,0.75,0.5625
81,17,9,20,8,0.4,0.888888889,0.551724138
12,26,6,20,0,0,0,error
13,27,4,20,0,0,0,error
485,14,9,20,8,0.4,0.888888889,0.551724138
458,46,13,20,9,0.45,0.692307692,0.545454545
588,39,17,20,10,0.5,0.588235294,0.540540541
349,26,11,20,8,0.4,0.727272727,0.516129032
404,40,20,20,10,0.5,0.5,0.5
486,35,21,20,10,0.5,0.476190476,0.487804878
470,63,17,20,9,0.45,0.529411765,0.486486486
130,19,9,20,7,0.35,0.777777778,0.482758621
498,26,9,20,7,0.35,0.777777778,0.482758621
58,85,27,20,11,0.55,0.407407407,0.468085106
602,99,36,20,13,0.65,0.361111111,0.464285714
174,47,20,20,9,0.45,0.45,0.45
43,85,29,20,11,0.55,0.379310345,0.448979592
179,53,16,20,8,0.4,0.5,0.444444444
240,94,34,20,12,0.6,0.352941176,0.444444444
566,58,16,20,8,0.4,0.5,0.444444444
284,67,21,20,9,0.45,0.428571429,0.43902439
411,106,21,20,9,0.45,0.428571429,0.43902439
512,38,12,20,7,0.35,0.583333333,0.4375
541,70,17,20,8,0.4,0.470588235,0.432432432
56,38,8,20,6,0.3,0.75,0.428571429
400,35,8,20,6,0.3,0.75,0.428571429
36,42,18,20,0,0,0,error
494,14,8,20,6,0.3,0.75,0.428571429
247,122,28,20,10,0.5,0.357142857,0.416666667
133,26,9,20,6,0.3,0.666666667,0.413793103
192,13,9,20,6,0.3,0.666666667,0.413793103
286,82,24,20,9,0.45,0.375,0.409090909
447,54,24,20,9,0.45,0.375,0.409090909
170,35,15,20,7,0.35,0.466666667,0.4
190,56,10,20,6,0.3,0.6,0.4
242,25,10,20,6,0.3,0.6,0.4
374,23,10,20,6,0.3,0.6,0.4
569,15,5,20,5,0.25,1,0.4
559,109,31,20,10,0.5,0.322580645,0.392156863
49,19,2,20,0,0,0,error
235,49,16,20,7,0.35,0.4375,0.388888889
51,252,107,20,0,0,0,error
536,24,16,20,7,0.35,0.4375,0.388888889
53,16,4,20,0,0,0,error
565,18,11,20,6,0.3,0.545454545,0.387096774
