,train_len,test_len,rec_len,hit,precision,recall,f1_score
1,187,45,10,3,0.0,0.0,-1
2,21,8,10,1,0.3,0.375,0.33333333333333326
3,27,12,10,0,0.4,0.3333333333333333,0.3636363636363636
4,161,55,10,2,0.4,0.07272727272727272,0.12307692307692307
5,28,16,10,3,0.6,0.375,0.4615384615384615
6,218,96,10,9,0.9,0.09375,0.169811320754717
7,118,34,10,4,1.8,0.5294117647058824,0.8181818181818181
8,32,15,10,4,2.2,1.4666666666666666,1.7599999999999998
9,33,13,10,1,2.6,2.0,2.2608695652173916
10,96,44,10,1,2.7,0.6136363636363636,1.0
11,47,17,10,3,2.8,1.6470588235294117,2.074074074074074
12,24,8,10,0,3.1,3.875,3.444444444444445
13,23,8,10,1,3.1,3.875,3.444444444444445
14,38,10,10,2,3.2,3.2,3.2000000000000006
15,94,41,10,5,3.4,0.8292682926829268,1.3333333333333333
16,75,23,10,7,3.9,1.6956521739130435,2.3636363636363638
17,77,28,10,5,4.6,1.6428571428571428,2.4210526315789473
18,384,118,10,6,5.1,0.4322033898305085,0.796875
19,511,192,10,6,5.7,0.296875,0.5643564356435643
20,174,68,10,0,6.3,0.9264705882352942,1.6153846153846154
21,319,124,10,5,6.3,0.5080645161290323,0.9402985074626866
22,90,29,10,3,6.8,2.3448275862068964,3.4871794871794872
23,96,25,10,3,7.1,2.84,4.057142857142857
24,87,23,10,1,7.4,3.217391304347826,4.484848484848484
25,23,3,10,1,7.5,25.0,11.538461538461538
26,17,4,10,2,7.6,19.0,10.857142857142858
27,108,27,10,3,7.8,2.888888888888889,4.216216216216216
28,415,155,10,9,8.1,0.5225806451612903,0.9818181818181817
29,62,19,10,0,9.0,4.7368421052631575,6.206896551724138
30,24,10,10,5,9.0,9.0,9.0
31,37,13,10,3,9.5,7.3076923076923075,8.26086956521739
32,81,21,10,4,9.8,4.666666666666667,6.322580645161291
33,116,40,10,2,10.2,2.55,4.08
34,65,21,10,2,10.4,4.9523809523809526,6.709677419354839
35,16,7,10,2,10.6,15.142857142857142,12.470588235294118
36,44,16,10,0,10.8,6.75,8.307692307692308
37,15,6,10,3,10.8,18.0,13.5
38,59,19,10,5,11.1,5.842105263157895,7.655172413793104
39,73,27,10,4,11.6,4.296296296296297,6.270270270270271
40,76,27,10,5,12.0,4.444444444444445,6.486486486486488
41,155,62,10,4,12.5,2.0161290322580645,3.4722222222222223
42,323,117,10,7,12.9,1.1025641025641026,2.031496062992126
43,92,22,10,7,13.6,6.181818181818182,8.5
44,36,12,10,1,14.3,11.916666666666666,12.999999999999998
45,302,97,10,6,14.4,1.4845360824742269,2.6915887850467293
46,31,11,10,5,15.0,13.636363636363637,14.285714285714286
47,106,34,10,1,15.5,4.5588235294117645,7.045454545454545
48,28,5,10,0,15.6,31.2,20.8
49,12,9,10,2,15.6,17.333333333333332,16.42105263157895
50,222,88,10,4,15.8,1.7954545454545454,3.224489795918367
51,269,90,10,1,16.2,1.8,3.24
52,92,38,10,3,16.3,4.2894736842105265,6.791666666666667
53,17,3,10,0,16.6,55.333333333333336,25.53846153846154
54,23,10,10,4,16.6,16.6,16.6
55,18,7,10,1,17.0,24.285714285714285,20.0
56,32,14,10,8,17.1,12.214285714285714,14.25
57,341,135,10,8,17.9,1.325925925925926,2.4689655172413794
58,92,20,10,6,18.7,9.35,12.466666666666669
59,81,26,10,3,19.3,7.423076923076923,10.722222222222221
60,18,4,10,2,19.6,49.0,28.000000000000004
61,27,12,10,2,19.8,16.5,18.0
62,273,93,10,5,20.0,2.150537634408602,3.883495145631068
63,206,65,10,6,20.5,3.1538461538461537,5.466666666666666
64,363,154,10,5,21.1,1.37012987012987,2.573170731707317
65,25,9,10,2,21.6,24.0,22.73684210526316
66,264,81,10,5,21.8,2.691358024691358,4.791208791208791
67,26,10,10,2,22.3,22.3,22.3
68,944,316,10,9,22.5,0.7120253164556962,1.3803680981595092
69,30,16,10,2,23.4,14.625,18.0
70,48,14,10,1,23.6,16.857142857142858,19.66666666666667
71,30,5,10,3,23.7,47.4,31.599999999999998
72,30,15,10,2,24.0,16.0,19.2
73,152,58,10,3,24.2,4.172413793103448,7.117647058823529
74,128,49,10,3,24.5,5.0,8.305084745762711
75,52,17,10,1,24.8,14.588235294117647,18.37037037037037
76,97,22,10,2,24.9,11.318181818181818,15.5625
77,22,7,10,3,25.1,35.857142857142854,29.529411764705884
78,46,15,10,5,25.4,16.933333333333334,20.32
79,46,18,10,4,25.9,14.38888888888889,18.5
80,125,42,10,2,26.3,6.261904761904762,10.115384615384615
81,18,8,10,5,26.5,33.125,29.444444444444443
82,174,53,10,3,27.0,5.09433962264151,8.571428571428571
83,85,33,10,3,27.3,8.272727272727273,12.69767441860465
84,219,74,10,4,27.6,3.72972972972973,6.571428571428572
85,23,11,10,0,28.0,25.454545454545453,26.666666666666668
86,58,12,10,2,28.0,23.333333333333332,25.454545454545453
87,17,4,10,1,28.2,70.5,40.285714285714285
88,36,20,10,1,28.3,14.15,18.866666666666664
89,387,131,10,1,28.4,2.16793893129771,4.028368794326242
90,40,14,10,2,28.5,20.357142857142858,23.75
91,451,124,10,10,28.7,2.314516129032258,4.2835820895522385
92,18,6,10,0,29.7,49.5,37.12499999999999
93,73,24,10,2,29.7,12.375,17.470588235294116
94,47,9,10,3,29.9,33.22222222222222,31.47368421052631
95,127,41,10,0,30.2,7.365853658536586,11.843137254901963
96,59,19,10,5,30.2,15.894736842105264,20.82758620689655
97,26,10,10,2,30.7,30.7,30.7
98,71,21,10,1,30.9,14.714285714285714,19.93548387096774
99,39,14,10,2,31.0,22.142857142857142,25.833333333333336
100,101,47,10,3,31.2,6.638297872340425,10.94736842105263
101,39,22,10,4,31.5,14.318181818181818,19.6875
102,44,12,10,2,31.9,26.583333333333332,28.999999999999996
103,277,100,10,3,32.1,3.21,5.836363636363636
104,209,64,10,3,32.4,5.0625,8.756756756756758
105,543,179,10,9,32.7,1.8268156424581006,3.46031746031746
106,27,6,10,2,33.6,56.0,42.00000000000001
107,18,16,10,6,33.8,21.125,26.0
108,60,16,10,3,34.4,21.5,26.461538461538463
109,93,34,10,6,34.7,10.205882352941176,15.772727272727272
110,39,12,10,2,35.3,29.416666666666668,32.090909090909086
111,490,156,10,4,35.5,2.2756410256410255,4.27710843373494
112,56,9,10,1,35.9,39.888888888888886,37.78947368421052
113,116,34,10,0,36.0,10.588235294117647,16.363636363636363
114,19,12,10,2,36.0,30.0,32.72727272727273
115,83,29,10,1,36.2,12.482758620689655,18.564102564102566
116,69,18,10,3,36.3,20.166666666666668,25.928571428571427
117,121,44,10,10,36.6,8.318181818181818,13.555555555555554
118,16,6,10,1,37.6,62.666666666666664,47.00000000000001
119,163,52,10,3,37.7,7.25,12.161290322580646
120,16,6,10,3,38.0,63.333333333333336,47.5
121,44,14,10,3,38.3,27.357142857142858,31.916666666666668
122,212,80,10,3,38.6,4.825,8.577777777777778
123,42,14,10,4,38.9,27.785714285714285,32.416666666666664
124,38,12,10,3,39.3,32.75,35.72727272727273
125,280,80,10,2,39.6,4.95,8.799999999999999
126,33,5,10,5,39.8,79.6,53.06666666666666
127,16,6,10,0,40.3,67.16666666666667,50.375
128,23,10,10,3,40.3,40.3,40.3
129,105,35,10,3,40.6,11.6,18.044444444444444
130,22,6,10,6,40.9,68.16666666666667,51.12500000000001
131,44,25,10,6,41.5,16.6,23.714285714285715
132,244,103,10,4,42.1,4.087378640776699,7.451327433628319
133,28,7,10,2,42.5,60.714285714285715,50.0
134,24,11,10,5,42.7,38.81818181818182,40.666666666666664
135,212,67,10,2,43.2,6.447761194029851,11.22077922077922
136,82,29,10,6,43.4,14.96551724137931,22.256410256410255
137,110,31,10,7,44.0,14.193548387096774,21.46341463414634
138,20,2,10,0,44.7,223.5,74.50000000000001
139,142,52,10,4,44.7,8.596153846153847,14.419354838709678
140,421,187,10,7,45.1,2.411764705882353,4.578680203045685
141,133,35,10,3,45.8,13.085714285714285,20.35555555555555
142,28,10,10,4,46.1,46.1,46.1
143,51,20,10,1,46.5,23.25,31.0
144,96,32,10,6,46.6,14.5625,22.190476190476193
145,14,9,10,7,47.2,52.44444444444444,49.68421052631579
146,21,11,10,0,47.9,43.54545454545455,45.61904761904763
147,14,6,10,0,47.9,79.83333333333333,59.875
148,39,9,10,2,47.9,53.22222222222222,50.421052631578945
149,44,14,10,1,48.1,34.357142857142854,40.083333333333336
150,21,5,10,4,48.2,96.4,64.26666666666667
151,43,16,10,2,48.6,30.375,37.384615384615394
152,47,16,10,7,48.8,30.5,37.53846153846153
153,139,40,10,1,49.5,12.375,19.8
154,28,6,10,0,49.6,82.66666666666667,62.00000000000001
155,33,13,10,0,49.6,38.15384615384615,43.130434782608695
156,303,95,10,5,49.6,5.221052631578948,9.447619047619048
157,17,4,10,0,50.1,125.25,71.57142857142858
158,21,5,10,0,50.1,100.2,66.8
159,73,24,10,1,50.1,20.875,29.470588235294123
160,339,98,10,7,50.2,5.122448979591836,9.296296296296296
161,33,6,10,0,50.9,84.83333333333333,63.625
162,32,6,10,1,50.9,84.83333333333333,63.625
163,16,7,10,0,51.0,72.85714285714286,60.0
164,26,10,10,2,51.0,51.0,51.0
165,47,18,10,3,51.2,28.444444444444443,36.57142857142857
166,146,44,10,3,51.5,11.704545454545455,19.074074074074073
167,137,36,10,1,51.8,14.38888888888889,22.521739130434785
168,73,21,10,5,51.9,24.714285714285715,33.483870967741936
169,207,62,10,2,52.4,8.451612903225806,14.555555555555554
170,38,12,10,3,52.6,43.833333333333336,47.81818181818182
171,55,27,10,1,52.9,19.59259259259259,28.594594594594593
172,20,6,10,0,53.0,88.33333333333333,66.25
173,20,5,10,2,53.0,106.0,70.66666666666667
174,56,11,10,5,53.2,48.36363636363637,50.66666666666668
175,16,8,10,0,53.7,67.125,59.66666666666667
176,26,10,10,6,53.7,53.7,53.70000000000001
177,664,240,10,10,54.3,2.2625,4.344
178,64,13,10,1,55.3,42.53846153846154,48.08695652173913
179,58,11,10,6,55.4,50.36363636363637,52.761904761904766
180,19,5,10,0,56.0,112.0,74.66666666666667
181,88,30,10,4,56.0,18.666666666666668,28.000000000000004
182,730,247,10,8,56.4,2.283400809716599,4.389105058365759
183,43,14,10,3,57.2,40.857142857142854,47.66666666666667
184,95,39,10,3,57.5,14.743589743589743,23.46938775510204
185,34,13,10,0,57.8,44.46153846153846,50.26086956521739
186,160,66,10,4,57.8,8.757575757575758,15.210526315789473
187,192,66,10,5,58.2,8.818181818181818,15.315789473684212
188,36,12,10,0,58.7,48.916666666666664,53.36363636363636
189,13,7,10,4,58.7,83.85714285714286,69.05882352941175
190,51,15,10,1,59.1,39.4,47.28
191,59,26,10,1,59.2,22.76923076923077,32.88888888888889
192,20,2,10,0,59.3,296.5,98.83333333333333
193,26,9,10,3,59.3,65.88888888888889,62.421052631578945
194,16,4,10,0,59.6,149.0,85.14285714285714
195,133,54,10,2,59.6,11.037037037037036,18.625
196,26,6,10,0,59.8,99.66666666666667,74.75
197,23,12,10,1,59.8,49.833333333333336,54.36363636363637
198,173,57,10,6,59.9,10.508771929824562,17.880597014925375
199,292,71,10,5,60.5,8.52112676056338,14.938271604938272
200,250,84,10,7,61.0,7.261904761904762,12.97872340425532
201,75,35,10,6,61.7,17.62857142857143,27.422222222222224
202,310,93,10,7,62.3,6.698924731182796,12.097087378640776
203,33,12,10,2,63.0,52.5,57.27272727272727
204,68,15,10,2,63.2,42.13333333333333,50.559999999999995
205,20,7,10,2,63.4,90.57142857142857,74.58823529411764
206,18,7,10,4,63.6,90.85714285714286,74.82352941176471
207,13,7,10,1,64.0,91.42857142857143,75.29411764705881
208,21,5,10,0,64.1,128.2,85.46666666666667
209,25,10,10,2,64.1,64.1,64.1
210,104,34,10,2,64.3,18.91176470588235,29.227272727272723
211,66,23,10,3,64.5,28.043478260869566,39.09090909090909
212,189,59,10,3,64.8,10.983050847457626,18.782608695652176
213,64,20,10,1,65.1,32.55,43.4
214,17,5,10,3,65.2,130.4,86.93333333333332
215,74,24,10,3,65.5,27.291666666666668,38.529411764705884
216,116,48,10,3,65.8,13.708333333333334,22.689655172413794
217,452,161,10,8,66.1,4.105590062111801,7.730994152046784
218,20,6,10,0,66.9,111.5,83.625
219,379,149,10,8,66.9,4.489932885906041,8.415094339622641
220,155,52,10,7,67.7,13.01923076923077,21.838709677419356
221,255,76,10,3,68.4,9.0,15.906976744186046
