,train_len,test_len,rec_len,hit,precision,recall,f1_score
1,180,52,20,6,0.3,0.115384615,0.166666667
2,19,10,20,1,0.05,0.1,0.066666667
3,30,9,20,0,0,0,error
4,167,49,20,2,0.1,0.040816327,0.057971014
5,28,16,20,6,0.3,0.375,0.333333333
6,236,78,20,17,0.85,0.217948718,0.346938776
7,110,42,20,7,0.35,0.166666667,0.225806452
8,34,13,20,10,0.5,0.769230769,0.606060606
9,34,12,20,1,0.05,0.083333333,0.0625
10,99,41,20,2,0.1,0.048780488,0.06557377
11,50,14,20,5,0.25,0.357142857,0.294117647
12,26,6,20,0,0,0,error
13,27,4,20,0,0,0,error
14,40,8,20,2,0.1,0.25,0.142857143
15,108,27,20,1,0.05,0.037037037,0.042553191
16,73,25,20,7,0.35,0.28,0.311111111
17,77,28,20,6,0.3,0.214285714,0.25
18,366,136,20,13,0.65,0.095588235,0.166666667
19,527,176,20,12,0.6,0.068181818,0.12244898
20,184,58,20,5,0.25,0.086206897,0.128205128
21,323,120,20,12,0.6,0.1,0.171428571
22,88,31,20,3,0.15,0.096774194,0.117647059
23,89,32,20,5,0.25,0.15625,0.192307692
24,86,24,20,3,0.15,0.125,0.136363636
25,21,5,20,2,0.1,0.4,0.16
26,16,5,20,4,0.2,0.8,0.32
27,101,34,20,1,0.05,0.029411765,0.037037037
28,411,159,20,11,0.55,0.06918239,0.122905028
29,58,23,20,3,0.15,0.130434783,0.139534884
30,28,6,20,3,0.15,0.5,0.230769231
31,37,13,20,2,0.1,0.153846154,0.121212121
32,81,21,20,2,0.1,0.095238095,0.097560976
33,107,49,20,2,0.1,0.040816327,0.057971014
34,67,19,20,2,0.1,0.105263158,0.102564103
35,19,4,20,1,0.05,0.25,0.083333333
36,42,18,20,0,0,0,error
37,18,3,20,3,0.15,1,0.260869565
38,62,16,20,6,0.3,0.375,0.333333333
39,78,22,20,7,0.35,0.318181818,0.333333333
40,79,24,20,7,0.35,0.291666667,0.318181818
41,165,52,20,5,0.25,0.096153846,0.138888889
42,325,115,20,7,0.35,0.060869565,0.103703704
43,85,29,20,11,0.55,0.379310345,0.448979592
44,38,10,20,1,0.05,0.1,0.066666667
45,306,93,20,10,0.5,0.107526882,0.17699115
46,34,8,20,5,0.25,0.625,0.357142857
47,106,34,20,4,0.2,0.117647059,0.148148148
48,27,6,20,1,0.05,0.166666667,0.076923077
49,19,2,20,0,0,0,error
50,236,74,20,4,0.2,0.054054054,0.085106383
51,252,107,20,0,0,0,error
52,102,28,20,3,0.15,0.107142857,0.125
53,16,4,20,0,0,0,error
54,27,6,20,4,0.2,0.666666667,0.307692308
55,15,10,20,1,0.05,0.1,0.066666667
56,38,8,20,6,0.3,0.75,0.428571429
57,371,105,20,9,0.45,0.085714286,0.144
58,85,27,20,11,0.55,0.407407407,0.468085106
59,82,25,20,4,0.2,0.16,0.177777778
60,14,8,20,1,0.05,0.125,0.071428571
61,35,4,20,1,0.05,0.25,0.083333333
62,280,86,20,12,0.6,0.139534884,0.226415094
63,206,65,20,10,0.5,0.153846154,0.235294118
64,385,132,20,6,0.3,0.045454545,0.078947368
65,26,8,20,1,0.05,0.125,0.071428571
66,262,83,20,10,0.5,0.120481928,0.194174757
67,31,5,20,2,0.1,0.4,0.16
68,929,331,20,17,0.85,0.051359517,0.096866097
69,32,14,20,2,0.1,0.142857143,0.117647059
70,48,14,20,1,0.05,0.071428571,0.058823529
71,28,7,20,0,0,0,error
72,35,10,20,5,0.25,0.5,0.333333333
73,162,48,20,3,0.15,0.0625,0.088235294
74,124,53,20,3,0.15,0.056603774,0.082191781
75,48,21,20,6,0.3,0.285714286,0.292682927
76,93,26,20,6,0.3,0.230769231,0.260869565
77,23,6,20,3,0.15,0.5,0.230769231
78,44,17,20,6,0.3,0.352941176,0.324324324
79,45,19,20,5,0.25,0.263157895,0.256410256
80,117,50,20,6,0.3,0.12,0.171428571
81,17,9,20,8,0.4,0.888888889,0.551724138
82,178,49,20,6,0.3,0.12244898,0.173913043
83,92,26,20,2,0.1,0.076923077,0.086956522
84,222,71,20,4,0.2,0.056338028,0.087912088
85,28,6,20,0,0,0,error
86,55,15,20,4,0.2,0.266666667,0.228571429
87,13,8,20,0,0,0,error
88,39,17,20,4,0.2,0.235294118,0.216216216
89,384,134,20,4,0.2,0.029850746,0.051948052
90,39,15,20,3,0.15,0.2,0.171428571
91,441,134,20,13,0.65,0.097014925,0.168831169
92,21,3,20,0,0,0,error
93,81,16,20,3,0.15,0.1875,0.166666667
94,44,12,20,9,0.45,0.75,0.5625
95,135,33,20,6,0.3,0.181818182,0.226415094
96,52,26,20,8,0.4,0.307692308,0.347826087
97,28,8,20,0,0,0,error
98,71,21,20,1,0.05,0.047619048,0.048780488
99,36,17,20,3,0.15,0.176470588,0.162162162
100,112,36,20,5,0.25,0.138888889,0.178571429
101,43,18,20,1,0.05,0.055555556,0.052631579
102,39,17,20,4,0.2,0.235294118,0.216216216
103,283,94,20,6,0.3,0.063829787,0.105263158
104,200,73,20,4,0.2,0.054794521,0.086021505
105,534,188,20,12,0.6,0.063829787,0.115384615
106,26,7,20,2,0.1,0.285714286,0.148148148
107,27,7,20,4,0.2,0.571428571,0.296296296
108,61,15,20,1,0.05,0.066666667,0.057142857
109,90,37,20,10,0.5,0.27027027,0.350877193
110,39,12,20,3,0.15,0.25,0.1875
111,490,156,20,6,0.3,0.038461538,0.068181818
112,50,15,20,3,0.15,0.2,0.171428571
113,114,36,20,2,0.1,0.055555556,0.071428571
114,19,12,20,3,0.15,0.25,0.1875
115,79,33,20,6,0.3,0.181818182,0.226415094
116,67,20,20,1,0.05,0.05,0.05
117,121,44,20,11,0.55,0.25,0.34375
118,19,3,20,2,0.1,0.666666667,0.173913043
