user,train_len,test_len,train/test,rec_len,hit,precision,recall,f1_score
550,26,2,13,20,1,0.05,0.5,0.090909091
459,24,2,12,20,1,0.05,0.5,0.090909091
3,27,12,,20,0,0,0,-1
402,44,4,11,20,1,0.05,0.25,0.083333333
214,20,2,10,20,1,0.05,0.5,0.090909091
147,18,2,9,20,1,0.05,0.5,0.090909091
207,18,2,9,20,1,0.05,0.5,0.090909091
431,18,2,9,20,1,0.05,0.5,0.090909091
443,33,4,8.25,20,1,0.05,0.25,0.083333333
5,39,5,7.8,20,2,0.1,0.4,0.16
34,76,10,7.6,20,2,0.1,0.2,0.133333333
12,24,8,,20,0,0,0,-1
110,45,6,7.5,20,2,0.1,0.333333333,0.153846154
267,50,7,7.142857143,20,2,0.1,0.285714286,0.148148148
574,20,3,6.666666667,20,3,0.15,1,0.260869565
75,60,9,6.666666667,20,2,0.1,0.222222222,0.137931034
535,26,4,6.5,20,2,0.1,0.5,0.166666667
498,30,5,6,20,4,0.2,0.8,0.32
94,48,8,6,20,3,0.15,0.375,0.214285714
471,24,4,6,20,2,0.1,0.5,0.166666667
205,23,4,5.75,20,3,0.15,0.75,0.25
25,22,4,5.5,20,2,0.1,0.5,0.166666667
96,66,12,5.5,20,2,0.1,0.166666667,0.125
149,49,9,5.444444444,20,3,0.15,0.333333333,0.206896552
513,27,5,5.4,20,2,0.1,0.4,0.16
300,27,5,5.4,20,1,0.05,0.2,0.08
124,42,8,5.25,20,3,0.15,0.375,0.214285714
98,77,15,5.133333333,20,1,0.05,0.066666667,0.057142857
14,40,8,5,20,3,0.15,0.375,0.214285714
295,34,7,4.857142857,20,2,0.1,0.285714286,0.148148148
108,63,13,4.846153846,20,1,0.05,0.076923077,0.060606061
491,53,11,4.818181818,20,2,0.1,0.181818182,0.129032258
77,24,5,4.8,20,3,0.15,0.6,0.24
198,190,40,4.75,20,6,0.3,0.15,0.2
423,19,4,4.75,20,1,0.05,0.25,0.083333333
36,49,11,,20,0,0,0,-1
74,146,31,4.709677419,20,2,0.1,0.064516129,0.078431373
334,127,27,4.703703704,20,3,0.15,0.111111111,0.127659574
490,93,20,4.65,20,2,0.1,0.1,0.1
353,74,16,4.625,20,5,0.25,0.3125,0.277777778
501,37,8,4.625,20,2,0.1,0.25,0.142857143
340,23,5,4.6,20,3,0.15,0.6,0.24
396,23,5,4.6,20,1,0.05,0.2,0.08
494,18,4,4.5,20,2,0.1,0.5,0.166666667
531,18,4,4.5,20,2,0.1,0.5,0.166666667
128,27,6,4.5,20,2,0.1,0.333333333,0.153846154
47,112,28,,20,0,0,0,-1
544,18,4,4.5,20,1,0.05,0.25,0.083333333
49,16,5,,20,0,0,0,-1
382,238,53,4.490566038,20,3,0.15,0.056603774,0.082191781
465,94,21,4.476190476,20,4,0.2,0.19047619,0.195121951
244,76,17,4.470588235,20,3,0.15,0.176470588,0.162162162
53,13,7,,20,0,0,0,-1
126,31,7,4.428571429,20,7,0.35,1,0.518518519
241,62,14,4.428571429,20,1,0.05,0.071428571,0.058823529
296,22,5,4.4,20,1,0.05,0.2,0.08
29,66,15,4.4,20,1,0.05,0.066666667,0.057142857
542,92,21,4.380952381,20,3,0.15,0.142857143,0.146341463
400,35,8,4.375,20,2,0.1,0.25,0.142857143
343,48,11,4.363636364,20,4,0.2,0.363636364,0.258064516
223,61,14,4.357142857,20,1,0.05,0.071428571,0.058823529
378,39,9,4.333333333,20,4,0.2,0.444444444,0.275862069
11,52,12,4.333333333,20,4,0.2,0.333333333,0.25
196,26,6,4.333333333,20,3,0.15,0.5,0.230769231
556,26,6,4.333333333,20,2,0.1,0.333333333,0.153846154
210,112,26,4.307692308,20,6,0.3,0.230769231,0.260869565
26,17,4,4.25,20,3,0.15,0.75,0.25
37,17,4,4.25,20,3,0.15,0.75,0.25
69,38,8,,20,0,0,0,-1
515,21,5,4.2,20,1,0.05,0.2,0.08
475,125,30,4.166666667,20,9,0.45,0.3,0.36
366,25,6,4.166666667,20,2,0.1,0.333333333,0.153846154
13,25,6,4.166666667,20,1,0.05,0.166666667,0.076923077
466,91,22,4.136363636,20,5,0.25,0.227272727,0.238095238
59,86,21,4.095238095,20,2,0.1,0.095238095,0.097560976
582,45,11,4.090909091,20,3,0.15,0.272727273,0.193548387
336,45,11,4.090909091,20,2,0.1,0.181818182,0.129032258
390,65,16,4.0625,20,2,0.1,0.125,0.111111111
377,105,26,4.038461538,20,1,0.05,0.038461538,0.043478261
347,36,9,4,20,7,0.35,0.777777778,0.482758621
242,28,7,4,20,4,0.2,0.571428571,0.296296296
350,32,8,4,20,3,0.15,0.375,0.214285714
193,28,7,4,20,1,0.05,0.142857143,0.074074074
393,98,25,3.92,20,6,0.3,0.24,0.266666667
85,27,7,,20,0,0,0,-1
605,176,45,3.911111111,20,5,0.25,0.111111111,0.153846154
87,19,2,,20,0,0,0,-1
591,43,11,3.909090909,20,1,0.05,0.090909091,0.064516129
16,78,20,3.9,20,2,0.1,0.1,0.1
90,40,14,,20,0,0,0,-1
565,23,6,3.833333333,20,4,0.2,0.666666667,0.307692308
92,16,8,,20,0,0,0,-1
259,23,6,3.833333333,20,1,0.05,0.166666667,0.076923077
269,23,6,3.833333333,20,1,0.05,0.166666667,0.076923077
132,275,72,3.819444444,20,9,0.45,0.125,0.195652174
601,80,21,3.80952381,20,3,0.15,0.142857143,0.146341463
180,19,5,3.8,20,2,0.1,0.4,0.16
508,19,5,3.8,20,2,0.1,0.4,0.16
405,95,25,3.8,20,1,0.05,0.04,0.044444444
265,129,34,3.794117647,20,3,0.15,0.088235294,0.111111111
428,237,63,3.761904762,20,9,0.45,0.142857143,0.21686747
22,94,25,3.76,20,4,0.2,0.16,0.177777778
252,30,8,3.75,20,1,0.05,0.125,0.071428571
315,26,7,3.714285714,20,2,0.1,0.285714286,0.148148148
453,245,66,3.712121212,20,5,0.25,0.075757576,0.11627907
470,63,17,3.705882353,20,9,0.45,0.529411765,0.486486486
168,74,20,3.7,20,3,0.15,0.15,0.15
101,48,13,3.692307692,20,2,0.1,0.153846154,0.121212121
593,81,22,3.681818182,20,5,0.25,0.227272727,0.238095238
46,33,9,3.666666667,20,5,0.25,0.555555556,0.344827586
588,44,12,3.666666667,20,4,0.2,0.333333333,0.25
277,22,6,3.666666667,20,2,0.1,0.333333333,0.153846154
540,33,9,3.666666667,20,2,0.1,0.222222222,0.137931034
123,44,12,3.666666667,20,2,0.1,0.166666667,0.125
558,44,12,3.666666667,20,1,0.05,0.083333333,0.0625
221,260,71,3.661971831,20,3,0.15,0.042253521,0.065934066
570,150,41,3.658536585,20,6,0.3,0.146341463,0.196721311
492,95,26,3.653846154,20,5,0.25,0.192307692,0.217391304
32,80,22,3.636363636,20,3,0.15,0.136363636,0.142857143
563,167,46,3.630434783,20,1,0.05,0.02173913,0.03030303
421,29,8,3.625,20,1,0.05,0.125,0.071428571
145,18,5,3.6,20,5,0.25,1,0.4
308,90,25,3.6,20,2,0.1,0.08,0.088888889
329,18,5,3.6,20,1,0.05,0.2,0.08
273,43,12,3.583333333,20,5,0.25,0.416666667,0.3125
541,68,19,3.578947368,20,8,0.4,0.421052632,0.41025641
127,17,5,,20,0,0,0,-1
240,100,28,3.571428571,20,8,0.4,0.285714286,0.333333333
302,25,7,3.571428571,20,4,0.2,0.571428571,0.296296296
301,89,25,3.56,20,5,0.25,0.2,0.222222222
1,181,51,3.549019608,20,5,0.25,0.098039216,0.14084507
170,39,11,3.545454545,20,4,0.2,0.363636364,0.258064516
39,78,22,3.545454545,20,5,0.25,0.227272727,0.238095238
31,39,11,3.545454545,20,2,0.1,0.181818182,0.129032258
246,159,45,3.533333333,20,5,0.25,0.111111111,0.153846154
503,74,21,3.523809524,20,3,0.15,0.142857143,0.146341463
21,345,98,3.520408163,20,11,0.55,0.112244898,0.186440678
138,17,5,,20,0,0,0,-1
354,176,50,3.52,20,12,0.6,0.24,0.342857143
356,225,64,3.515625,20,6,0.3,0.09375,0.142857143
399,28,8,3.5,20,4,0.2,0.5,0.285714286
557,21,6,3.5,20,2,0.1,0.333333333,0.153846154
517,311,89,3.494382022,20,4,0.2,0.04494382,0.073394495
50,241,69,3.492753623,20,4,0.2,0.057971014,0.08988764
600,593,170,3.488235294,20,10,0.5,0.058823529,0.105263158
146,26,6,,20,0,0,0,-1
534,404,116,3.482758621,20,6,0.3,0.051724138,0.088235294
153,139,40,3.475,20,3,0.15,0.075,0.1
263,163,47,3.468085106,20,5,0.25,0.106382979,0.149253731
174,52,15,3.466666667,20,7,0.35,0.466666667,0.4
573,232,67,3.462686567,20,10,0.5,0.149253731,0.229885057
160,339,98,3.459183673,20,7,0.35,0.071428571,0.118644068
33,121,35,3.457142857,20,3,0.15,0.085714286,0.109090909
424,107,31,3.451612903,20,7,0.35,0.225806452,0.274509804
82,176,51,3.450980392,20,6,0.3,0.117647059,0.169014085
483,564,164,3.43902439,20,14,0.7,0.085365854,0.152173913
157,17,4,,20,0,0,0,-1
158,18,8,,20,0,0,0,-1
99,41,12,3.416666667,20,3,0.15,0.25,0.1875
303,41,12,3.416666667,20,2,0.1,0.166666667,0.125
161,23,16,,20,0,0,0,-1
316,41,12,3.416666667,20,2,0.1,0.166666667,0.125
163,20,3,,20,0,0,0,-1
261,41,12,3.416666667,20,1,0.05,0.083333333,0.0625
294,338,99,3.414141414,20,3,0.15,0.03030303,0.050420168
426,68,20,3.4,20,6,0.3,0.3,0.3
192,17,5,3.4,20,3,0.15,0.6,0.24
120,17,5,3.4,20,2,0.1,0.4,0.16
24,85,25,3.4,20,1,0.05,0.04,0.044444444
434,180,53,3.396226415,20,12,0.6,0.226415094,0.328767123
197,27,8,3.375,20,1,0.05,0.125,0.071428571
172,20,6,,20,0,0,0,-1
44,37,11,3.363636364,20,1,0.05,0.090909091,0.064516129
564,121,36,3.361111111,20,2,0.1,0.055555556,0.071428571
175,16,8,,20,0,0,0,-1
395,47,14,3.357142857,20,4,0.2,0.285714286,0.235294118
602,104,31,3.35483871,20,11,0.55,0.35483871,0.431372549
100,114,34,3.352941176,20,2,0.1,0.058823529,0.074074074
298,723,216,3.347222222,20,12,0.6,0.055555556,0.101694915
186,174,52,3.346153846,20,5,0.25,0.096153846,0.138888889
469,358,107,3.345794393,20,10,0.5,0.093457944,0.157480315
19,541,162,3.339506173,20,12,0.6,0.074074074,0.131868132
200,257,77,3.337662338,20,8,0.4,0.103896104,0.164948454
81,20,6,3.333333333,20,6,0.3,1,0.461538462
185,40,7,,20,0,0,0,-1
235,50,15,3.333333333,20,8,0.4,0.533333333,0.457142857
52,100,30,3.333333333,20,2,0.1,0.066666667,0.08
188,44,4,,20,0,0,0,-1
208,20,6,3.333333333,20,1,0.05,0.166666667,0.076923077
516,20,6,3.333333333,20,1,0.05,0.166666667,0.076923077
166,146,44,3.318181818,20,7,0.35,0.159090909,0.21875
131,53,16,3.3125,20,6,0.3,0.375,0.333333333
464,106,32,3.3125,20,8,0.4,0.25,0.307692308
194,16,4,,20,0,0,0,-1
381,364,110,3.309090909,20,12,0.6,0.109090909,0.184615385
58,86,26,3.307692308,20,9,0.45,0.346153846,0.391304348
88,43,13,3.307692308,20,3,0.15,0.230769231,0.181818182
487,43,13,3.307692308,20,3,0.15,0.230769231,0.181818182
603,724,219,3.305936073,20,6,0.3,0.02739726,0.050209205
