, train_len, test_len, rec_len, hit, precision, recall, f1_score
3,28,11,10,0,0,0,error 
9,36,10,10,0,0,0,error 
29,65,16,10,0,0,0,error 
36,45,15,10,0,0,0,error 
48,25,8,10,0,0,0,error 
51,271,88,10,0,0,0,error 
53,13,7,10,0,0,0,error 
54,31,2,10,0,0,0,error 
55,20,5,10,0,0,0,error 
70,50,12,10,0,0,0,error 
71,32,3,10,0,0,0,error 
78,45,16,10,0,0,0,error 
85,24,10,10,0,0,0,error 
87,15,6,10,0,0,0,error 
88,46,10,10,0,0,0,error 
92,20,4,10,0,0,0,error 
97,28,8,10,0,0,0,error 
98,70,22,10,0,0,0,error 
113,112,38,10,0,0,0,error 
127,16,6,10,0,0,0,error 
128,29,4,10,0,0,0,error 
138,17,5,10,0,0,0,error 
146,26,6,10,0,0,0,error 
147,15,5,10,0,0,0,error 
157,20,1,10,0,0,0,error 
161,26,13,10,0,0,0,error 
163,17,6,10,0,0,0,error 
172,19,7,10,0,0,0,error 
175,15,9,10,0,0,0,error 
185,37,10,10,0,0,0,error 
188,34,14,10,0,0,0,error 
194,11,9,10,0,0,0,error 
196,25,7,10,0,0,0,error 
207,14,6,10,0,0,0,error 
208,20,6,10,0,0,0,error 
218,20,6,10,0,0,0,error 
224,39,15,10,0,0,0,error 
225,50,25,10,0,0,0,error 
236,20,10,10,0,0,0,error 
238,33,11,10,0,0,0,error 
241,56,20,10,0,0,0,error 
245,12,9,10,0,0,0,error 
250,21,6,10,0,0,0,error 
252,28,10,10,0,0,0,error 
253,35,12,10,0,0,0,error 
255,31,13,10,0,0,0,error 
257,16,4,10,0,0,0,error 
259,24,5,10,0,0,0,error 
262,43,14,10,0,0,0,error 
271,35,8,10,0,0,0,error 
287,114,38,10,0,0,0,error 
289,20,4,10,0,0,0,error 
293,16,5,10,0,0,0,error 
297,58,14,10,0,0,0,error 
299,17,6,10,0,0,0,error 
310,56,8,10,0,0,0,error 
311,22,6,10,0,0,0,error 
315,26,7,10,0,0,0,error 
316,40,13,10,0,0,0,error 
319,26,9,10,0,0,0,error 
320,16,4,10,0,0,0,error 
325,210,60,10,0,0,0,error 
329,18,5,10,0,0,0,error 
333,20,5,10,0,0,0,error 
335,21,7,10,0,0,0,error 
341,31,21,10,0,0,0,error 
355,19,7,10,0,0,0,error 
358,31,10,10,0,0,0,error 
360,22,3,10,0,0,0,error 
371,29,12,10,0,0,0,error 
384,55,15,10,0,0,0,error 
396,21,7,10,0,0,0,error 
397,12,11,10,0,0,0,error 
398,37,9,10,0,0,0,error 
401,53,19,10,0,0,0,error 
403,24,10,10,0,0,0,error 
406,17,3,10,0,0,0,error 
410,133,34,10,0,0,0,error 
421,28,9,10,0,0,0,error 
423,17,6,10,0,0,0,error 
430,44,14,10,0,0,0,error 
431,13,7,10,0,0,0,error 
440,28,5,10,0,0,0,error 
442,16,4,10,0,0,0,error 
454,31,14,10,0,0,0,error 
467,17,5,10,0,0,0,error 
471,19,9,10,0,0,0,error 
473,25,12,10,0,0,0,error 
478,17,5,10,0,0,0,error 
479,140,41,10,0,0,0,error 
482,90,38,10,0,0,0,error 
484,219,56,10,0,0,0,error 
499,21,6,10,0,0,0,error 
500,63,23,10,0,0,0,error 
502,30,5,10,0,0,0,error 
505,24,7,10,0,0,0,error 
506,35,7,10,0,0,0,error 
508,17,7,10,0,0,0,error 
513,23,9,10,0,0,0,error 
518,19,5,10,0,0,0,error 
519,18,8,10,0,0,0,error 
532,40,10,10,0,0,0,error 
537,35,12,10,0,0,0,error 
538,28,9,10,0,0,0,error 
540,34,8,10,0,0,0,error 
542,88,25,10,0,0,0,error 
543,53,23,10,0,0,0,error 
545,16,7,10,0,0,0,error 
546,43,21,10,0,0,0,error 
547,14,7,10,0,0,0,error 
548,21,5,10,0,0,0,error 
556,23,9,10,0,0,0,error 
557,25,2,10,0,0,0,error 
558,46,10,10,0,0,0,error 
563,153,60,10,0,0,0,error 
571,83,29,10,0,0,0,error 
575,31,5,10,0,0,0,error 
576,12,8,10,0,0,0,error 
578,18,9,10,0,0,0,error 
589,31,9,10,0,0,0,error 
593,85,18,10,0,0,0,error 
598,16,5,10,0,0,0,error 
126,23,15,10,9,0.9,0.6,0.72
468,23,10,10,7,0.7,0.7,0.7
498,24,11,10,7,0.7,0.636363636,0.666666667
512,39,11,10,7,0.7,0.636363636,0.666666667
179,51,18,10,9,0.9,0.5,0.642857143
46,33,9,10,6,0.6,0.666666667,0.631578947
130,22,6,10,5,0.5,0.833333333,0.625
569,14,6,10,5,0.5,0.833333333,0.625
270,27,13,10,7,0.7,0.538461538,0.608695652
94,46,10,10,6,0.6,0.6,0.6
269,19,10,10,6,0.6,0.6,0.6
592,77,17,10,8,0.8,0.470588235,0.592592593
340,21,7,10,5,0.5,0.714285714,0.588235294
485,16,7,10,5,0.5,0.714285714,0.588235294
337,62,15,10,7,0.7,0.466666667,0.56
588,41,15,10,7,0.7,0.466666667,0.56
