,train_len,test_len,rec_len,hit,precision,recall,f1_score
1,174,58,10,4,0.0,0.0,-1
2,22,7,10,0,0.4,0.5714285714285714,0.47058823529411764
3,31,8,10,0,0.4,0.5,0.4444444444444445
4,168,48,10,1,0.4,0.08333333333333333,0.13793103448275862
5,38,6,10,1,0.5,0.8333333333333334,0.625
6,236,78,10,7,0.6,0.07692307692307693,0.13636363636363635
7,113,39,10,2,1.3,0.3333333333333333,0.5306122448979592
8,38,9,10,2,1.5,1.6666666666666667,1.5789473684210524
9,38,8,10,1,1.7,2.125,1.8888888888888886
10,99,41,10,4,1.8,0.43902439024390244,0.7058823529411764
11,46,18,10,5,2.2,1.2222222222222223,1.5714285714285714
12,21,11,10,0,2.7,2.4545454545454546,2.5714285714285716
13,22,9,10,1,2.7,3.0,2.842105263157895
14,35,13,10,3,2.8,2.1538461538461537,2.434782608695652
15,114,21,10,3,3.1,1.4761904761904763,2.0000000000000004
16,81,17,10,5,3.4,2.0,2.518518518518518
17,77,28,10,5,3.9,1.3928571428571428,2.0526315789473686
18,370,132,10,6,4.4,0.3333333333333333,0.619718309859155
19,538,165,10,7,5.0,0.30303030303030304,0.5714285714285715
20,184,58,10,2,5.7,0.9827586206896551,1.6764705882352942
21,337,106,10,7,5.9,0.5566037735849056,1.017241379310345
22,93,26,10,6,6.6,2.5384615384615383,3.666666666666666
23,94,27,10,2,7.2,2.6666666666666665,3.8918918918918917
24,83,27,10,4,7.4,2.740740740740741,4.000000000000001
25,21,5,10,2,7.8,15.6,10.4
26,14,7,10,1,8.0,11.428571428571429,9.411764705882351
27,94,41,10,6,8.1,1.975609756097561,3.176470588235294
28,425,145,10,5,8.7,0.6,1.1225806451612903
29,67,14,10,0,9.2,6.571428571428571,7.666666666666666
30,27,7,10,4,9.2,13.142857142857142,10.823529411764705
31,39,11,10,0,9.6,8.727272727272727,9.14285714285714
32,77,25,10,2,9.6,3.84,5.485714285714286
33,116,40,10,2,9.8,2.45,3.920000000000001
34,71,15,10,0,10.0,6.666666666666667,8.0
35,16,7,10,1,10.0,14.285714285714286,11.764705882352942
36,46,14,10,1,10.1,7.214285714285714,8.416666666666668
37,16,5,10,3,10.2,20.4,13.6
38,57,21,10,5,10.5,5.0,6.774193548387097
39,74,26,10,6,11.0,4.230769230769231,6.111111111111112
40,81,22,10,1,11.6,5.2727272727272725,7.25
41,171,46,10,6,11.7,2.5434782608695654,4.178571428571429
42,337,103,10,3,12.3,1.1941747572815533,2.1769911504424777
43,84,30,10,7,12.6,4.2,6.3
44,39,9,10,0,13.3,14.777777777777779,14.0
45,309,90,10,3,13.3,1.4777777777777779,2.66
46,33,9,10,3,13.6,15.11111111111111,14.31578947368421
47,101,39,10,3,13.9,3.5641025641025643,5.673469387755103
48,27,6,10,2,14.2,23.666666666666668,17.75
49,17,4,10,1,14.4,36.0,20.57142857142857
50,236,74,10,3,14.5,1.9594594594594594,3.452380952380952
51,268,91,10,2,14.8,1.6263736263736264,2.93069306930693
52,95,35,10,3,15.0,4.285714285714286,6.666666666666666
53,16,4,10,0,15.3,38.25,21.857142857142858
54,25,8,10,2,15.3,19.125,17.000000000000004
55,19,6,10,0,15.5,25.833333333333332,19.375
56,37,9,10,6,15.5,17.22222222222222,16.315789473684212
57,349,127,10,8,16.1,1.2677165354330708,2.3503649635036497
58,84,28,10,7,16.9,6.035714285714286,8.894736842105264
59,85,22,10,3,17.6,8.0,11.0
60,16,6,10,1,17.9,29.833333333333332,22.375
61,30,9,10,0,18.0,20.0,18.94736842105263
62,273,93,10,5,18.0,1.935483870967742,3.4951456310679614
63,204,67,10,6,18.5,2.7611940298507465,4.805194805194806
64,372,145,10,7,19.1,1.3172413793103448,2.464516129032258
65,20,14,10,2,19.8,14.142857142857142,16.5
66,255,90,10,4,20.0,2.2222222222222223,4.0
67,24,12,10,4,20.4,17.0,18.545454545454543
68,922,338,10,10,20.8,0.6153846153846154,1.1954022988505746
69,41,5,10,0,21.8,43.6,29.066666666666666
70,44,18,10,1,21.8,12.11111111111111,15.571428571428573
71,23,12,10,2,21.9,18.25,19.909090909090907
72,35,10,10,2,22.1,22.1,22.1
73,152,58,10,3,22.3,3.8448275862068964,6.5588235294117645
74,136,41,10,2,22.6,5.512195121951219,8.862745098039216
75,42,27,10,4,22.8,8.444444444444445,12.324324324324323
76,92,27,10,3,23.2,8.592592592592593,12.540540540540542
77,19,10,10,1,23.5,23.5,23.5
