,train_len,test_len,rec_len,hit,precision,recall,f1_score
1,171,61,20,9,0.45,0.14754098360655737,0.22222222222222224
2,20,9,20,2,0.1,0.2222222222222222,0.13793103448275865
3,32,7,20,0,0.0,0.0,-1
4,166,50,20,5,0.25,0.1,0.14285714285714288
5,37,7,20,3,0.15,0.42857142857142855,0.2222222222222222
6,229,85,20,14,0.7,0.16470588235294117,0.26666666666666666
7,112,40,20,5,0.25,0.125,0.16666666666666666
8,37,10,20,5,0.25,0.5,0.3333333333333333
9,33,13,20,1,0.05,0.07692307692307693,0.060606060606060615
10,104,36,20,4,0.2,0.1111111111111111,0.14285714285714285
11,47,17,20,5,0.25,0.29411764705882354,0.27027027027027023
12,24,8,20,0,0.0,0.0,-1
13,26,5,20,0,0.0,0.0,-1
14,31,17,20,5,0.25,0.29411764705882354,0.27027027027027023
15,106,29,20,4,0.2,0.13793103448275862,0.16326530612244897
16,74,24,20,7,0.35,0.2916666666666667,0.31818181818181823
17,85,20,20,3,0.15,0.15,0.15
18,366,136,20,12,0.6,0.08823529411764706,0.15384615384615385
19,533,170,20,12,0.6,0.07058823529411765,0.12631578947368421
20,174,68,20,4,0.2,0.058823529411764705,0.0909090909090909
21,318,125,20,11,0.55,0.088,0.15172413793103448
22,95,24,20,2,0.1,0.08333333333333333,0.0909090909090909
23,83,38,20,4,0.2,0.10526315789473684,0.13793103448275862
24,83,27,20,0,0.0,0.0,-1
25,21,5,20,3,0.15,0.6,0.24
26,15,6,20,5,0.25,0.8333333333333334,0.3846153846153846
27,106,29,20,3,0.15,0.10344827586206896,0.12244897959183673
28,430,140,20,9,0.45,0.06428571428571428,0.1125
29,58,23,20,2,0.1,0.08695652173913043,0.09302325581395349
30,22,12,20,4,0.2,0.3333333333333333,0.25
31,33,17,20,2,0.1,0.11764705882352941,0.1081081081081081
32,78,24,20,4,0.2,0.16666666666666666,0.1818181818181818
33,123,33,20,3,0.15,0.09090909090909091,0.11320754716981132
34,69,17,20,6,0.3,0.35294117647058826,0.3243243243243243
35,19,4,20,1,0.05,0.25,0.08333333333333334
36,45,15,20,0,0.0,0.0,-1
37,19,2,20,1,0.05,0.5,0.09090909090909091
38,62,16,20,6,0.3,0.375,0.33333333333333326
39,80,20,20,4,0.2,0.2,0.20000000000000004
40,86,17,20,5,0.25,0.29411764705882354,0.27027027027027023
41,159,58,20,6,0.3,0.10344827586206896,0.15384615384615385
42,351,89,20,5,0.25,0.056179775280898875,0.09174311926605504
43,81,33,20,11,0.55,0.3333333333333333,0.4150943396226416
44,40,8,20,4,0.2,0.5,0.28571428571428575
45,303,96,20,12,0.6,0.125,0.20689655172413793
46,30,12,20,6,0.3,0.5,0.37499999999999994
47,103,37,20,1,0.05,0.02702702702702703,0.03508771929824561
48,21,12,20,1,0.05,0.08333333333333333,0.0625
49,16,5,20,0,0.0,0.0,-1
50,236,74,20,3,0.15,0.04054054054054054,0.06382978723404256
51,272,87,20,0,0.0,0.0,-1
52,97,33,20,7,0.35,0.21212121212121213,0.26415094339622636
53,20,0,20,0,0.0,0,-1
54,22,11,20,6,0.3,0.5454545454545454,0.3870967741935483
55,17,8,20,1,0.05,0.125,0.07142857142857144
56,29,17,20,8,0.4,0.47058823529411764,0.4324324324324324
57,372,104,20,7,0.35,0.0673076923076923,0.11290322580645161
58,89,23,20,6,0.3,0.2608695652173913,0.27906976744186046
59,82,25,20,5,0.25,0.2,0.22222222222222224
60,18,4,20,2,0.1,0.5,0.16666666666666669
61,28,11,20,2,0.1,0.18181818181818182,0.12903225806451613
62,268,98,20,14,0.7,0.14285714285714285,0.23728813559322035
63,213,58,20,8,0.4,0.13793103448275862,0.20512820512820515
64,377,140,20,5,0.25,0.03571428571428571,0.0625
65,27,7,20,1,0.05,0.14285714285714285,0.07407407407407408
66,269,76,20,8,0.4,0.10526315789473684,0.16666666666666666
67,21,15,20,4,0.2,0.26666666666666666,0.2285714285714286
68,945,315,20,18,0.9,0.05714285714285714,0.10746268656716418
69,33,13,20,4,0.2,0.3076923076923077,0.24242424242424246
70,49,13,20,1,0.05,0.07692307692307693,0.060606060606060615
71,24,11,20,2,0.1,0.18181818181818182,0.12903225806451613
72,32,13,20,5,0.25,0.38461538461538464,0.30303030303030304
73,159,51,20,2,0.1,0.0392156862745098,0.05633802816901408
74,137,40,20,1,0.05,0.025,0.03333333333333333
75,49,20,20,6,0.3,0.3,0.3
76,93,26,20,3,0.15,0.11538461538461539,0.13043478260869565
77,20,9,20,5,0.25,0.5555555555555556,0.3448275862068966
78,50,11,20,3,0.15,0.2727272727272727,0.19354838709677416
79,43,21,20,3,0.15,0.14285714285714285,0.14634146341463414
80,124,43,20,8,0.4,0.18604651162790697,0.25396825396825395
81,20,6,20,6,0.3,1.0,0.4615384615384615
82,177,50,20,5,0.25,0.1,0.14285714285714288
83,93,25,20,4,0.2,0.16,0.17777777777777778
84,223,70,20,7,0.35,0.1,0.15555555555555556
85,22,12,20,1,0.05,0.08333333333333333,0.0625
86,56,14,20,6,0.3,0.42857142857142855,0.3529411764705882
87,18,3,20,0,0.0,0.0,-1
88,43,13,20,3,0.15,0.23076923076923078,0.18181818181818185
89,384,134,20,0,0.0,0.0,-1
90,40,14,20,2,0.1,0.14285714285714285,0.11764705882352941
91,442,133,20,15,0.75,0.11278195488721804,0.19607843137254902
92,20,4,20,0,0.0,0.0,-1
93,63,34,20,6,0.3,0.17647058823529413,0.22222222222222224
94,43,13,20,11,0.55,0.8461538461538461,0.6666666666666667
95,126,42,20,4,0.2,0.09523809523809523,0.12903225806451613
96,56,22,20,5,0.25,0.22727272727272727,0.23809523809523808
97,26,10,20,2,0.1,0.2,0.13333333333333333
98,74,18,20,1,0.05,0.05555555555555555,0.052631578947368425
99,39,14,20,4,0.2,0.2857142857142857,0.23529411764705882
100,116,32,20,2,0.1,0.0625,0.07692307692307693
101,48,13,20,0,0.0,0.0,-1
102,44,12,20,5,0.25,0.4166666666666667,0.3125
103,291,86,20,7,0.35,0.08139534883720931,0.1320754716981132
104,208,65,20,6,0.3,0.09230769230769231,0.1411764705882353
105,539,183,20,15,0.75,0.08196721311475409,0.1477832512315271
106,26,7,20,4,0.2,0.5714285714285714,0.29629629629629634
107,26,8,20,5,0.25,0.625,0.35714285714285715
108,58,18,20,1,0.05,0.05555555555555555,0.052631578947368425
109,99,28,20,8,0.4,0.2857142857142857,0.3333333333333333
110,40,11,20,3,0.15,0.2727272727272727,0.19354838709677416
111,483,163,20,8,0.4,0.049079754601226995,0.08743169398907104
112,48,17,20,4,0.2,0.23529411764705882,0.2162162162162162
113,121,29,20,1,0.05,0.034482758620689655,0.04081632653061224
114,20,11,20,3,0.15,0.2727272727272727,0.19354838709677416
115,85,27,20,2,0.1,0.07407407407407407,0.0851063829787234
116,70,17,20,3,0.15,0.17647058823529413,0.16216216216216214
117,126,39,20,10,0.5,0.2564102564102564,0.3389830508474576
118,17,5,20,1,0.05,0.2,0.08000000000000002
119,167,48,20,6,0.3,0.125,0.17647058823529413
120,17,5,20,1,0.05,0.2,0.08000000000000002
121,43,15,20,4,0.2,0.26666666666666666,0.2285714285714286
122,217,75,20,5,0.25,0.06666666666666667,0.10526315789473685
123,39,17,20,4,0.2,0.23529411764705882,0.2162162162162162
124,35,15,20,3,0.15,0.2,0.17142857142857143
125,273,87,20,3,0.15,0.034482758620689655,0.05607476635514019
126,28,10,20,9,0.45,0.9,0.6
127,17,5,20,0,0.0,0.0,-1
128,29,4,20,0,0.0,0.0,-1
129,102,38,20,8,0.4,0.21052631578947367,0.27586206896551724
130,15,13,20,10,0.5,0.7692307692307693,0.6060606060606061
131,54,15,20,3,0.15,0.2,0.17142857142857143
132,239,108,20,9,0.45,0.08333333333333333,0.140625
133,24,11,20,7,0.35,0.6363636363636364,0.45161290322580644
134,29,6,20,2,0.1,0.3333333333333333,0.15384615384615383
135,211,68,20,8,0.4,0.11764705882352941,0.1818181818181818
136,82,29,20,7,0.35,0.2413793103448276,0.2857142857142857
137,112,29,20,7,0.35,0.2413793103448276,0.2857142857142857
138,16,6,20,0,0.0,0.0,-1
139,135,59,20,9,0.45,0.15254237288135594,0.22784810126582278
140,431,177,20,8,0.4,0.04519774011299435,0.08121827411167512
141,132,36,20,12,0.6,0.3333333333333333,0.42857142857142855
142,28,10,20,7,0.35,0.7,0.4666666666666667
143,49,22,20,0,0.0,0.0,-1
144,94,34,20,6,0.3,0.17647058823529413,0.22222222222222224
145,15,8,20,4,0.2,0.5,0.28571428571428575
146,22,10,20,1,0.05,0.1,0.06666666666666667
147,16,4,20,0,0.0,0.0,-1
148,34,14,20,5,0.25,0.35714285714285715,0.2941176470588235
149,45,13,20,2,0.1,0.15384615384615385,0.12121212121212123
150,20,6,20,2,0.1,0.3333333333333333,0.15384615384615383
151,41,18,20,4,0.2,0.2222222222222222,0.2105263157894737
152,49,14,20,4,0.2,0.2857142857142857,0.23529411764705882
153,127,52,20,3,0.15,0.057692307692307696,0.08333333333333334
154,26,8,20,2,0.1,0.25,0.14285714285714288
155,35,11,20,3,0.15,0.2727272727272727,0.19354838709677416
156,302,96,20,11,0.55,0.11458333333333333,0.18965517241379307
157,13,8,20,2,0.1,0.25,0.14285714285714288
158,21,5,20,0,0.0,0.0,-1
159,74,23,20,3,0.15,0.13043478260869565,0.13953488372093023
160,325,112,20,11,0.55,0.09821428571428571,0.16666666666666666
161,31,8,20,1,0.05,0.125,0.07142857142857144
162,28,10,20,4,0.2,0.4,0.26666666666666666
163,17,6,20,0,0.0,0.0,-1
164,30,6,20,3,0.15,0.5,0.23076923076923075
165,51,14,20,3,0.15,0.21428571428571427,0.1764705882352941
166,144,46,20,8,0.4,0.17391304347826086,0.24242424242424243
167,128,45,20,7,0.35,0.15555555555555556,0.21538461538461537
168,72,22,20,4,0.2,0.18181818181818182,0.1904761904761905
169,195,74,20,3,0.15,0.04054054054054054,0.06382978723404256
170,40,10,20,6,0.3,0.6,0.4
171,56,26,20,7,0.35,0.2692307692307692,0.3043478260869565
172,24,2,20,0,0.0,0.0,-1
173,19,6,20,3,0.15,0.5,0.23076923076923075
174,50,17,20,7,0.35,0.4117647058823529,0.37837837837837834
175,18,6,20,0,0.0,0.0,-1
176,30,6,20,4,0.2,0.6666666666666666,0.30769230769230765
177,682,222,20,10,0.5,0.04504504504504504,0.08264462809917356
178,51,26,20,7,0.35,0.2692307692307692,0.3043478260869565
179,56,13,20,7,0.35,0.5384615384615384,0.4242424242424242
180,22,2,20,1,0.05,0.5,0.09090909090909091
181,95,23,20,5,0.25,0.21739130434782608,0.23255813953488372
182,726,251,20,14,0.7,0.055776892430278883,0.10332103321033212
183,43,14,20,3,0.15,0.21428571428571427,0.1764705882352941
184,99,35,20,1,0.05,0.02857142857142857,0.03636363636363636
185,36,11,20,1,0.05,0.09090909090909091,0.06451612903225806
186,178,48,20,6,0.3,0.125,0.17647058823529413
187,202,56,20,5,0.25,0.08928571428571429,0.13157894736842105
188,33,15,20,0,0.0,0.0,-1
189,12,8,20,4,0.2,0.5,0.28571428571428575
190,49,17,20,4,0.2,0.23529411764705882,0.2162162162162162
191,67,18,20,3,0.15,0.16666666666666666,0.15789473684210525
192,15,7,20,6,0.3,0.8571428571428571,0.4444444444444444
193,27,8,20,2,0.1,0.25,0.14285714285714288
194,16,4,20,0,0.0,0.0,-1
195,149,38,20,2,0.1,0.05263157894736842,0.06896551724137931
196,24,8,20,1,0.05,0.125,0.07142857142857144
197,28,7,20,1,0.05,0.14285714285714285,0.07407407407407408
198,169,61,20,12,0.6,0.19672131147540983,0.2962962962962963
199,280,83,20,6,0.3,0.07228915662650602,0.11650485436893204
200,256,78,20,7,0.35,0.08974358974358974,0.14285714285714285
201,77,33,20,7,0.35,0.21212121212121213,0.26415094339622636
202,305,98,20,7,0.35,0.07142857142857142,0.11864406779661017
203,35,10,20,0,0.0,0.0,-1
204,61,22,20,3,0.15,0.13636363636363635,0.14285714285714282
205,20,7,20,2,0.1,0.2857142857142857,0.14814814814814817
206,14,11,20,4,0.2,0.36363636363636365,0.25806451612903225
207,15,5,20,0,0.0,0.0,-1
208,17,9,20,1,0.05,0.1111111111111111,0.06896551724137932
209,26,9,20,3,0.15,0.3333333333333333,0.20689655172413793
210,107,31,20,7,0.35,0.22580645161290322,0.2745098039215686
211,64,25,20,6,0.3,0.24,0.2666666666666666
212,179,69,20,7,0.35,0.10144927536231885,0.15730337078651685
213,61,23,20,2,0.1,0.08695652173913043,0.09302325581395349
214,16,6,20,2,0.1,0.3333333333333333,0.15384615384615383
215,69,29,20,4,0.2,0.13793103448275862,0.16326530612244897
216,115,49,20,3,0.15,0.061224489795918366,0.08695652173913043
217,462,151,20,9,0.45,0.059602649006622516,0.10526315789473684
218,22,4,20,0,0.0,0.0,-1
