,train_len,test_len,rec_len,hit,precision,recall,f1_score
1,174,58,10,6,0,0,-1
2,21,8,10,2,0.6,0.75,0.666666667
3,32,7,10,1,0.8,1.142857143,0.941176471
4,166,50,10,2,0.9,0.18,0.3
5,35,9,10,2,1.1,1.222222222,1.157894737
6,246,68,10,7,1.3,0.191176471,0.333333333
7,105,47,10,3,2,0.425531915,0.701754386
8,37,10,10,5,2.3,2.3,2.3
9,34,12,10,0,2.8,2.333333333,2.545454545
10,107,33,10,1,2.8,0.848484848,1.302325581
11,49,15,10,5,2.9,1.933333333,2.32
12,24,8,10,0,3.4,4.25,3.777777778
13,28,3,10,1,3.4,11.33333333,5.230769231
14,29,19,10,3,3.5,1.842105263,2.413793103
15,96,39,10,3,3.8,0.974358974,1.551020408
16,68,30,10,8,4.1,1.366666667,2.05
17,79,26,10,5,4.9,1.884615385,2.722222222
18,392,110,10,7,5.4,0.490909091,0.9
19,503,200,10,5,6.1,0.305,0.580952381
20,192,50,10,3,6.6,1.32,2.2
21,312,131,10,9,6.9,0.526717557,0.978723404
22,91,28,10,3,7.8,2.785714286,4.105263158
23,98,23,10,1,8.1,3.52173913,4.909090909
24,80,30,10,2,8.2,2.733333333,4.1
25,19,7,10,1,8.4,12,9.882352941
26,19,2,10,0,8.5,42.5,14.16666667
27,103,32,10,1,8.5,2.65625,4.047619048
28,425,145,10,4,8.6,0.593103448,1.109677419
29,62,19,10,1,9,4.736842105,6.206896552
30,26,8,10,2,9.1,11.375,10.11111111
31,34,16,10,3,9.3,5.8125,7.153846154
32,76,26,10,3,9.6,3.692307692,5.333333333
33,119,37,10,2,9.9,2.675675676,4.212765957
34,68,18,10,0,10.1,5.611111111,7.214285714
35,20,3,10,0,10.1,33.66666667,15.53846154
36,41,19,10,0,10.1,5.315789474,6.965517241
37,13,8,10,4,10.1,12.625,11.22222222
38,57,21,10,4,10.5,5,6.774193548
39,76,24,10,1,10.9,4.541666667,6.411764706
40,81,22,10,5,11,5,6.875
41,156,61,10,4,11.5,1.885245902,3.23943662
42,331,109,10,4,11.9,1.091743119,2
43,88,26,10,7,12.3,4.730769231,6.833333333
44,40,8,10,2,13,16.25,14.44444444
45,295,104,10,7,13.2,1.269230769,2.315789474
46,32,10,10,6,13.9,13.9,13.9
47,109,31,10,1,14.5,4.677419355,7.073170732
48,26,7,10,1,14.6,20.85714286,17.17647059
49,18,3,10,0,14.7,49,22.61538462
50,237,73,10,2,14.7,2.01369863,3.542168675
51,266,93,10,2,14.9,1.602150538,2.893203883
52,101,29,10,3,15.1,5.206896552,7.743589744
53,16,4,10,0,15.4,38.5,22
54,23,10,10,1,15.4,15.4,15.4
