,train_len,test_len,rec_len,hit,precision,recall,f1_score
1,182,50,10,3,0.3,0.06,0.09999999999999999
2,23,6,10,0,0.0,0.0,-1
3,23,16,10,0,0.0,0.0,-1
4,164,52,10,3,0.3,0.057692307692307696,0.0967741935483871
5,28,16,10,4,0.4,0.25,0.3076923076923077
6,240,74,10,9,0.9,0.12162162162162163,0.2142857142857143
7,123,29,10,2,0.2,0.06896551724137931,0.10256410256410257
8,30,17,10,4,0.4,0.23529411764705882,0.29629629629629634
9,31,15,10,0,0.0,0.0,-1
10,100,40,10,0,0.0,0.0,-1
11,42,22,10,3,0.3,0.13636363636363635,0.18749999999999997
12,23,9,10,0,0.0,0.0,-1
13,25,6,10,0,0.0,0.0,-1
14,38,10,10,3,0.3,0.3,0.3
15,103,32,10,3,0.3,0.09375,0.14285714285714285
16,81,17,10,5,0.5,0.29411764705882354,0.37037037037037035
17,88,17,10,2,0.2,0.11764705882352941,0.14814814814814817
18,380,122,10,7,0.7,0.05737704918032787,0.10606060606060608
19,554,149,10,3,0.3,0.020134228187919462,0.03773584905660377
20,174,68,10,3,0.3,0.04411764705882353,0.07692307692307693
21,319,124,10,7,0.7,0.056451612903225805,0.10447761194029852
22,84,35,10,5,0.5,0.14285714285714285,0.22222222222222224
23,86,35,10,2,0.2,0.05714285714285714,0.08888888888888888
24,86,24,10,3,0.3,0.125,0.17647058823529413
25,23,3,10,1,0.1,0.3333333333333333,0.15384615384615383
26,14,7,10,2,0.2,0.2857142857142857,0.23529411764705882
27,104,31,10,4,0.4,0.12903225806451613,0.1951219512195122
28,435,135,10,6,0.6,0.044444444444444446,0.08275862068965519
29,60,21,10,1,0.1,0.047619047619047616,0.06451612903225806
30,28,6,10,3,0.3,0.5,0.37499999999999994
31,38,12,10,2,0.2,0.16666666666666666,0.1818181818181818
32,78,24,10,4,0.4,0.16666666666666666,0.23529411764705882
33,111,45,10,4,0.4,0.08888888888888889,0.14545454545454545
34,63,23,10,1,0.1,0.043478260869565216,0.06060606060606061
35,14,9,10,1,0.1,0.1111111111111111,0.10526315789473685
36,44,16,10,0,0.0,0.0,-1
37,16,5,10,3,0.3,0.6,0.4
38,52,26,10,5,0.5,0.19230769230769232,0.2777777777777778
39,69,31,10,7,0.7,0.22580645161290322,0.3414634146341463
40,78,25,10,7,0.7,0.28,0.4
41,167,50,10,5,0.5,0.1,0.16666666666666669
42,320,120,10,3,0.3,0.025,0.04615384615384615
43,85,29,10,8,0.8,0.27586206896551724,0.4102564102564103
44,30,18,10,4,0.4,0.2222222222222222,0.2857142857142857
45,321,78,10,8,0.8,0.10256410256410256,0.18181818181818182
46,33,9,10,4,0.4,0.4444444444444444,0.4210526315789474
47,114,26,10,4,0.4,0.15384615384615385,0.2222222222222222
48,26,7,10,0,0.0,0.0,-1
49,14,7,10,2,0.2,0.2857142857142857,0.23529411764705882
50,232,78,10,2,0.2,0.02564102564102564,0.045454545454545456
51,276,83,10,1,0.1,0.012048192771084338,0.021505376344086023
52,101,29,10,2,0.2,0.06896551724137931,0.10256410256410257
53,16,4,10,0,0.0,0.0,-1
54,22,11,10,3,0.3,0.2727272727272727,0.28571428571428564
55,16,9,10,0,0.0,0.0,-1
56,38,8,10,3,0.3,0.375,0.33333333333333326
57,359,117,10,7,0.7,0.05982905982905983,0.11023622047244094
58,87,25,10,7,0.7,0.28,0.4
59,83,24,10,2,0.2,0.08333333333333333,0.11764705882352941
60,15,7,10,0,0.0,0.0,-1
61,27,12,10,2,0.2,0.16666666666666666,0.1818181818181818
62,272,94,10,6,0.6,0.06382978723404255,0.11538461538461536
63,203,68,10,7,0.7,0.10294117647058823,0.1794871794871795
64,393,124,10,4,0.4,0.03225806451612903,0.05970149253731343
65,22,12,10,2,0.2,0.16666666666666666,0.1818181818181818
66,251,94,10,6,0.6,0.06382978723404255,0.11538461538461536
67,28,8,10,3,0.3,0.375,0.33333333333333326
68,945,315,10,9,0.9,0.02857142857142857,0.05538461538461538
69,38,8,10,1,0.1,0.125,0.11111111111111112
70,43,19,10,1,0.1,0.05263157894736842,0.06896551724137931
71,24,11,10,3,0.3,0.2727272727272727,0.28571428571428564
72,33,12,10,1,0.1,0.08333333333333333,0.0909090909090909
73,160,50,10,2,0.2,0.04,0.06666666666666667
74,137,40,10,1,0.1,0.025,0.04000000000000001
75,53,16,10,1,0.1,0.0625,0.07692307692307693
76,98,21,10,2,0.2,0.09523809523809523,0.12903225806451613
77,23,6,10,2,0.2,0.3333333333333333,0.25
78,45,16,10,1,0.1,0.0625,0.07692307692307693
79,45,19,10,4,0.4,0.21052631578947367,0.27586206896551724
80,123,44,10,3,0.3,0.06818181818181818,0.11111111111111109
81,20,6,10,4,0.4,0.6666666666666666,0.5
82,174,53,10,3,0.3,0.05660377358490566,0.09523809523809525
83,93,25,10,2,0.2,0.08,0.11428571428571428
84,215,78,10,2,0.2,0.02564102564102564,0.045454545454545456
85,21,13,10,0,0.0,0.0,-1
86,52,18,10,5,0.5,0.2777777777777778,0.35714285714285715
87,13,8,10,0,0.0,0.0,-1
88,41,15,10,2,0.2,0.13333333333333333,0.16
89,382,136,10,0,0.0,0.0,-1
90,44,10,10,2,0.2,0.2,0.20000000000000004
91,430,145,10,7,0.7,0.04827586206896552,0.09032258064516129
92,16,8,10,0,0.0,0.0,-1
93,69,28,10,0,0.0,0.0,-1
94,42,14,10,6,0.6,0.42857142857142855,0.5
95,126,42,10,2,0.2,0.047619047619047616,0.07692307692307693
96,60,18,10,1,0.1,0.05555555555555555,0.07142857142857142
